date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:53	69/69	---M-Z	200	added ('OK')	text/plain	date:Thu,%2030%20Mar%202023%2006:46:53%20GMT	https://bim.themescamp.com/robots.txt		(from )
12:16:54	141187/141187	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2023:14:21%20GMT	https://bim.themescamp.com/demo7/	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/index.html	(from )
12:16:54	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:54%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-includes/css/dist/block-library/style.min.css?ver=5.7.8	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-includes/css/dist/block-library/style.min.0d988.delayed	(from https://bim.themescamp.com/demo7/)
12:16:54	10839/10839	---M-Z	200	added ('OK')	application/rss+xml	date:Sun,%2022%20Sep%202019%2023:18:04%20GMT	https://bim.themescamp.com/demo7/comments/feed/	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/comments/feed/index.html	(from https://bim.themescamp.com/demo7/)
12:16:55	91135/91135	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2029%20Jul%202020%2011:37:53%20GMT	https://bim.themescamp.com/demo7/feed/	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/feed/index.html	(from https://bim.themescamp.com/demo7/)
12:16:55	58171/58171	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:45:35%20GMT	https://bim.themescamp.com/demo7/wp-includes/css/dist/block-library/style.min.css?ver=5.7.8	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-includes/css/dist/block-library/style.mind988.css	(from https://bim.themescamp.com/demo7/)
12:16:55	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:55%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-content/plugins/metronet-profile-picture/dist/blocks.style.build.css?ver=2.3.11	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-content/plugins/metronet-profile-picture/dist/blocks.style.build5f5a.css	(from https://bim.themescamp.com/demo7/)
12:16:55	27723/27723	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:45:35%20GMT	https://bim.themescamp.com/demo7/wp-content/plugins/metronet-profile-picture/dist/blocks.style.build.css?ver=2.3.11	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-content/plugins/metronet-profile-picture/dist/blocks.style.build5f5a.css	(from https://bim.themescamp.com/demo7/)
12:16:55	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:55%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.1	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-content/plugins/contact-form-7/includes/css/stylesc225.css	(from https://bim.themescamp.com/demo7/)
12:16:55	2640/2640	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:45:35%20GMT	https://bim.themescamp.com/demo7/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.1	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-content/plugins/contact-form-7/includes/css/stylesc225.css	(from https://bim.themescamp.com/demo7/)
12:16:56	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:55%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-content/plugins/bim_plugin/widgets/css/style.css?ver=1.0.0	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-content/plugins/bim_plugin/widgets/css/style8a54.css	(from https://bim.themescamp.com/demo7/)
12:16:56	10624/10624	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:43:43%20GMT	https://bim.themescamp.com/demo7/wp-content/plugins/bim_plugin/widgets/css/style.css?ver=1.0.0	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-content/plugins/bim_plugin/widgets/css/style8a54.css	(from https://bim.themescamp.com/demo7/)
12:16:56	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:56%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-content/themes/bim/css/bootstrap.min.css?ver=1	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-content/themes/bim/css/bootstrap.min68b3.css	(from https://bim.themescamp.com/demo7/)
12:16:57	121556/121556	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:45:41%20GMT	https://bim.themescamp.com/demo7/wp-content/themes/bim/css/bootstrap.min.css?ver=1	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-content/themes/bim/css/bootstrap.min68b3.css	(from https://bim.themescamp.com/demo7/)
12:16:57	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:56%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://bim.themescamp.com/demo7/)
12:16:57	30999/30999	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:45:37%20GMT	https://bim.themescamp.com/demo7/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://bim.themescamp.com/demo7/)
12:16:57	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:57%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-content/themes/bim/css/icon-font.min.css?ver=1	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-content/themes/bim/css/icon-font.min68b3.css	(from https://bim.themescamp.com/demo7/)
12:16:57	7354/7354	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:45:40%20GMT	https://bim.themescamp.com/demo7/wp-content/themes/bim/css/icon-font.min.css?ver=1	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-content/themes/bim/css/icon-font.min68b3.css	(from https://bim.themescamp.com/demo7/)
12:16:58	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:57%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-content/themes/bim/css/magnific-popup.css?ver=1	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-content/themes/bim/css/magnific-popup68b3.css	(from https://bim.themescamp.com/demo7/)
12:16:58	6951/6951	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:45:40%20GMT	https://bim.themescamp.com/demo7/wp-content/themes/bim/css/magnific-popup.css?ver=1	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-content/themes/bim/css/magnific-popup68b3.css	(from https://bim.themescamp.com/demo7/)
12:16:58	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:58%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-content/themes/bim/css/animate.css?ver=1	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-content/themes/bim/css/animate68b3.css	(from https://bim.themescamp.com/demo7/)
12:16:58	25340/25340	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:45:40%20GMT	https://bim.themescamp.com/demo7/wp-content/themes/bim/css/animate.css?ver=1	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-content/themes/bim/css/animate68b3.css	(from https://bim.themescamp.com/demo7/)
12:16:59	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Mar%202023%2006:46:58%20GMT	https://cdn.shortpixel.ai/spai/q_+ret_img+v_0/https://bim.themescamp.com/demo7/wp-content/themes/bim/css/magic.css?ver=1	C:/My%20Web%20Sites/Bin_7/cdn.shortpixel.ai/spai/q_+ret_img+v_0/https_/bim.themescamp.com/demo7/wp-content/themes/bim/css/magic68b3.css	(from https://bim.themescamp.com/demo7/)
12:16:59	22966/22966	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2014:45:40%20GMT	https://bim.themescamp.com/demo7/wp-content/themes/bim/css/magic.css?ver=1	C:/My%20Web%20Sites/Bin_7/bim.themescamp.com/demo7/wp-content/themes/bim/css/magic68b3.css	(from https://bim.themescamp.com/demo7/)
