date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:57	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2017%20Feb%202023%2006:14:56%20GMT	https://dreamcraft.studio/robots.txt		(from )
11:44:58	100399/100399	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2006:14:57%20GMT	https://dreamcraft.studio/	C:/My%20Web%20Sites/dreamcraft/dreamcraft.studio/index.html	(from )
11:45:00	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2017%20Feb%202023%2006:15:00%20GMT	https://dreamcraft.studio/xmlrpc.php	C:/My%20Web%20Sites/dreamcraft/dreamcraft.studio/xmlrpc.0.delayed	(from https://dreamcraft.studio/)
11:45:00	1678/1678	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2025%20Jun%202020%2011:19:46%20GMT	https://dreamcraft.studio/comments/feed/	C:/My%20Web%20Sites/dreamcraft/dreamcraft.studio/comments/feed/index.html	(from https://dreamcraft.studio/)
11:45:00	752/752	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2025%20Jun%202020%2011:19:46%20GMT	https://dreamcraft.studio/home/feed/	C:/My%20Web%20Sites/dreamcraft/dreamcraft.studio/home/feed/index.html	(from https://dreamcraft.studio/)
11:45:00	1929/1929	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2024%20Sep%202022%2011:48:26%20GMT	https://dreamcraft.studio/feed/	C:/My%20Web%20Sites/dreamcraft/dreamcraft.studio/feed/index.html	(from https://dreamcraft.studio/)
11:45:00	53593/53593	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Apr%202020%2002:32:14%20GMT	https://dreamcraft.studio/wp-includes/css/dist/block-library/style.min.css?ver=5.4.12	C:/My%20Web%20Sites/dreamcraft/dreamcraft.studio/wp-includes/css/dist/block-library/style.minc4ec.css	(from https://dreamcraft.studio/)
11:45:01	1954/1954	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202020%2008:03:30%20GMT	https://dreamcraft.studio/wp-includes/css/dist/block-library/theme.min.css?ver=5.4.12	C:/My%20Web%20Sites/dreamcraft/dreamcraft.studio/wp-includes/css/dist/block-library/theme.minc4ec.css	(from https://dreamcraft.studio/)
11:45:01	776/776	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2018:56:18%20GMT	https://dreamcraft.studio/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.8	C:/My%20Web%20Sites/dreamcraft/dreamcraft.studio/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor0322.css	(from https://dreamcraft.studio/)
11:45:01	16209/16209	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Mar%202021%2020:26:50%20GMT	https://dreamcraft.studio/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0	C:/My%20Web%20Sites/dreamcraft/dreamcraft.studio/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e8.css	(from https://dreamcraft.studio/)
